usTime;Cycle;Degrees;Channel;Session;Input pressure;FMV pressure;DGNS degrees;DGNS pressure;Arrival time;FD1 detection time;FD1 detection degrees;FD2 detection time;FD2 detection degrees;LW detection degrees;# valid windings;#1 Windingtime;#1 Windingtime Timestamp;#2 Windingtime;#2 Windingtime Timestamp;#3 Windingtime;#3 Windingtime Timestamp;#4 Windingtime;#4 Windingtime Timestamp;#5 Windingtime;#5 Windingtime Timestamp;#6 Windingtime;#6 Windingtime Timestamp;#7 Windingtime;#7 Windingtime Timestamp;#8 Windingtime;#8 Windingtime Timestamp;#9 Windingtime;#9 Windingtime Timestamp;#10 Windingtime;#10 Windingtime Timestamp;#11 Windingtime;#11 Windingtime Timestamp;#12 Windingtime;#12 Windingtime Timestamp;#13 Windingtime;#13 Windingtime Timestamp;#14 Windingtime;#14 Windingtime Timestamp;#15 Windingtime;#15 Windingtime Timestamp;#16 Windingtime;#16 Windingtime Timestamp;PFT BrakeDegrees;PFT BrakeSeconds;BurstPosition;ExpTPBurstToPStart;TPBurstToPStart;Degrees Start Insertion;ExpTPStartToPaExpected;TPStartToPaExpected;Px Position;Direction change count;Reverse count
3049663787;732569299;120.498;2;3;6.33;2.33;29.00300;-2.50;0.0527;0.0527;239.99200;0.0807;331.25601;236.07401;8;0.0073;0.0078;0.0133;0.0138;0.0193;0.0198;0.0252;0.0258;0.0311;0.0317;0.0371;0.0377;0.0436;0.0441;0.0511;0.0516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213.22200;0.04491;29.00300;0.01100;0.01225;61.08300;0.05747;0.05590;299.9;34;112
3049772829;732569300;120.674;1;3;6.33;2.24;28.65200;-2.50;0.0575;0.0568;255.81200;0.0657;285.29001;254.88200;8;0.0075;0.0081;0.0139;0.0144;0.0204;0.0209;0.0267;0.0274;0.0331;0.0337;0.0397;0.0402;0.0471;0.0477;0.0561;0.0567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213.22200;0.04433;28.65200;0.01100;0.01199;62.05000;0.05747;0.05562;299.9;34;112
3049881954;732569301;120.410;2;3;6.32;2.33;28.91600;-2.50;0.0588;0.0588;262.93201;0.0650;285.46500;258.31000;8;0.0077;0.0081;0.0141;0.0146;0.0206;0.0212;0.0268;0.0276;0.0332;0.0338;0.0398;0.0403;0.0474;0.0479;0.0570;0.0576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;212.78300;0.04404;28.91600;0.01100;0.01189;62.31400;0.05747;0.05555;299.9;34;112
3049992010;732569302;120.234;1;3;6.29;2.24;28.82800;-2.50;0.0585;0.0585;259.59201;0.0662;289.59601;257.51901;8;0.0074;0.0080;0.0139;0.0144;0.0204;0.0209;0.0268;0.0274;0.0333;0.0338;0.0401;0.0407;0.0479;0.0484;0.0574;0.0579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213.92500;0.04490;28.82800;0.01100;0.01195;62.13800;0.05747;0.05617;299.8;34;112
3050100343;732569303;120.234;2;3;6.27;2.33;28.82800;-2.50;0.0587;0.0587;262.75601;0.0658;285.64099;258.75000;8;0.0078;0.0085;0.0144;0.0152;0.0211;0.0216;0.0274;0.0280;0.0337;0.0343;0.0403;0.0409;0.0478;0.0485;0.0571;0.0576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215.06799;0.04472;28.82800;0.01100;0.01196;62.13800;0.05747;0.05553;299.9;34;112
3050209061;732569304;121.289;1;3;6.25;2.24;28.74000;-2.50;0.0593;0.0593;267.14999;0.0812;332.83899;263.67099;8;0.0076;0.0081;0.0141;0.0146;0.0207;0.0213;0.0271;0.0276;0.0335;0.0343;0.0403;0.0409;0.0482;0.0487;0.0579;0.0584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218.84700;0.04522;28.74000;0.01100;0.01176;62.66600;0.05747;0.05499;299.9;34;112
3050318130;732569305;120.322;2;3;6.24;2.33;28.74000;-2.50;0.0578;0.0578;258.97699;0.0668;289.33301;256.55200;8;0.0076;0.0081;0.0139;0.0145;0.0204;0.0209;0.0267;0.0273;0.0331;0.0337;0.0397;0.0402;0.0472;0.0477;0.0566;0.0572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;212.25500;0.04404;28.74000;0.01100;0.01190;62.22600;0.05747;0.05571;299.9;34;112
3050427045;732569306;120.234;1;3;6.24;2.24;28.65200;-2.50;0.0570;0.0570;255.72501;0.0674;293.37601;253.47600;8;0.0078;0.0082;0.0143;0.0147;0.0207;0.0212;0.0269;0.0276;0.0333;0.0337;0.0398;0.0402;0.0471;0.0476;0.0560;0.0564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213.22200;0.04452;28.65200;0.01100;0.01200;61.87500;0.05747;0.05578;299.9;34;112
3050536322;732569307;120.234;2;3;6.25;2.33;28.65200;-2.50;0.0599;0.0599;266.18399;0.0807;331.25601;262.70499;8;0.0082;0.0086;0.0149;0.0153;0.0216;0.0221;0.0281;0.0285;0.0347;0.0353;0.0415;0.0420;0.0492;0.0498;0.0585;0.0590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220.86900;0.04652;28.65200;0.01100;0.01195;62.13800;0.05747;0.05561;299.8;34;112
3050644799;732569308;120.234;1;3;6.25;2.24;28.82800;-2.50;0.0590;0.0590;263.98599;0.0657;285.29001;261.38599;8;0.0077;0.0081;0.0143;0.0147;0.0208;0.0212;0.0271;0.0276;0.0336;0.0340;0.0404;0.0407;0.0482;0.0486;0.0580;0.0584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;217.61700;0.04536;28.82800;0.01100;0.01189;62.22600;0.05747;0.05547;299.9;34;112
3050753340;732569309;120.146;2;3;6.25;2.33;28.74000;-2.50;0.0582;0.0582;262.84399;0.0650;285.46500;257.69501;8;0.0078;0.0082;0.0142;0.0147;0.0207;0.0212;0.0269;0.0274;0.0333;0.0337;0.0400;0.0404;0.0474;0.0477;0.0564;0.0568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215.59500;0.04442;28.74000;0.01100;0.01176;62.66600;0.05747;0.05515;299.9;34;112
3050862606;732569310;120.146;1;3;6.26;2.24;28.74000;-2.50;0.0571;0.0571;256.69101;0.0662;289.59601;252.59700;8;0.0075;0.0080;0.0140;0.0144;0.0204;0.0208;0.0266;0.0272;0.0329;0.0333;0.0394;0.0400;0.0466;0.0470;0.0556;0.0560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211.81599;0.04394;28.74000;0.01100;0.01191;62.13800;0.05747;0.05570;299.9;34;112
3050971579;732569311;120.234;2;3;6.26;2.33;28.91600;-2.50;0.0582;0.0582;260.20700;0.0658;285.64099;255.67300;8;0.0078;0.0083;0.0143;0.0146;0.0208;0.0211;0.0270;0.0274;0.0333;0.0338;0.0399;0.0403;0.0474;0.0479;0.0566;0.0570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213.48599;0.04450;28.91600;0.01100;0.01194;62.13800;0.05747;0.05574;299.9;34;112
3051081039;732569312;120.586;1;3;6.26;2.24;28.91600;-2.50;0.0604;0.0604;267.85400;0.0812;332.83899;263.05600;8;0.0078;0.0082;0.0146;0.0150;0.0212;0.0217;0.0276;0.0280;0.0342;0.0347;0.0410;0.0414;0.0489;0.0494;0.0587;0.0590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;219.63800;0.04612;28.91600;0.01100;0.01185;62.31400;0.05747;0.05567;299.8;34;112
3051189346;732569313;120.234;2;3;6.26;2.33;28.82800;-2.50;0.0577;0.0577;259.67999;0.0668;289.33301;256.46399;8;0.0079;0.0083;0.0143;0.0148;0.0208;0.0213;0.0270;0.0276;0.0334;0.0338;0.0401;0.0405;0.0475;0.0480;0.0565;0.0568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215.50700;0.04472;28.82800;0.01100;0.01189;62.22600;0.05747;0.05545;299.9;34;112
3051297971;732569314;120.410;1;3;6.26;2.24;28.56400;-2.50;0.0586;0.0586;263.98599;0.0674;293.37601;260.50699;8;0.0078;0.0083;0.0144;0.0148;0.0211;0.0215;0.0273;0.0278;0.0337;0.0344;0.0404;0.0408;0.0480;0.0484;0.0572;0.0577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218.84700;0.04541;28.56400;0.01100;0.01181;62.49000;0.05747;0.05516;299.9;34;112
3051407245;732569315;120.410;2;3;6.26;2.33;28.74000;-2.50;0.0573;0.0573;257.57001;0.0807;331.25601;253.65199;8;0.0077;0.0081;0.0140;0.0145;0.0204;0.0209;0.0265;0.0269;0.0328;0.0331;0.0394;0.0400;0.0468;0.0472;0.0559;0.0564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211.46400;0.04382;28.74000;0.01100;0.01190;62.31400;0.05747;0.05570;299.9;34;112
3051516141;732569316;120.146;1;3;6.26;2.24;28.65200;-2.50;0.0587;0.0587;261.61301;0.0657;285.29001;257.43100;8;0.0074;0.0079;0.0138;0.0143;0.0203;0.0208;0.0267;0.0271;0.0332;0.0336;0.0400;0.0406;0.0478;0.0483;0.0571;0.0576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214.62801;0.04493;28.65200;0.01100;0.01201;61.87500;0.05747;0.05575;299.9;34;112
3051625598;732569317;120.586;2;3;6.26;2.33;28.65200;-2.50;0.0572;0.0572;256.95499;0.0650;285.46500;253.74001;8;0.0079;0.0083;0.0142;0.0147;0.0207;0.0212;0.0270;0.0276;0.0333;0.0337;0.0398;0.0403;0.0471;0.0477;0.0559;0.0564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213.31000;0.04433;28.65200;0.01100;0.01193;62.13800;0.05747;0.05570;299.8;34;112
